City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Rain inches (past 3 hours),Snow inches (past 3 hours)
0,Mehamn,NO,71.04,27.85,29.88,29.88,90,93,7.0,0,0
1,Kawhia,NZ,-38.07,174.82,60.01,60.01,81,37,1.01,0,0
2,Puerto Ayora,EC,-0.74,-90.35,84.2,79.0,70,20,20.8,0,0
3,Hidrolandia,BR,-4.41,-40.44,73.18,73.18,80,20,2.93,0,0
4,Castro,BR,-24.79,-50.01,52.66,52.66,87,0,3.53,0,0
5,Busselton,AU,-33.65,115.33,39.0,39.0,75,0,2.95,0,0
6,Portland,US,45.52,-122.68,87.01,81.0,23,75,18.34,0,0
7,Kapaa,US,22.08,-159.32,80.6,77.0,61,40,17.22,0,0
8,Jian,CN,27.12,114.98,72.07,72.07,93,95,6.82,0,0
9,Alofi,NU,-19.06,-169.92,84.2,84.2,79,67,10.29,0,0
10,Yellowknife,CA,62.46,-114.35,37.4,35.01,44,20,12.75,0,0
11,Matam,SN,15.62,-13.33,102.2,102.2,22,97,4.7,0,0
12,Port Pirie,AU,-33.18,138.02,44.6,44.6,93,41,5.82,0,0
13,Tuktoyaktuk,CA,69.45,-133.04,35.6,35.6,74,40,19.46,0,0
14,Hobart,AU,-42.88,147.33,46.99,41.0,81,40,8.05,0,0
15,Punta Arenas,CL,-53.15,-70.92,42.8,42.01,93,90,2.08,0,0
16,Broome,US,42.25,-75.83,36.0,28.99,86,90,12.75,0,0
17,San Policarpo,PH,12.18,125.51,82.83,82.83,83,100,8.41,0,0
18,Guerrero Negro,MX,27.98,-114.06,76.32,76.32,45,0,15.75,0,0
19,Yenisehir,TR,40.26,29.65,46.4,46.4,81,0,2.06,0,0
20,Ushuaia,AR,-54.8,-68.3,44.6,44.6,81,86,6.93,0,0
21,Syriam,MM,16.77,96.24,80.6,80.6,83,20,5.82,0,0
22,Bredasdorp,ZA,-34.53,20.04,60.8,60.8,87,0,2.01,0,0
23,Narsaq,GL,60.92,-46.05,50.0,50.0,23,36,23.04,0,0
24,Pedernales,DO,18.04,-71.74,84.45,84.45,59,100,11.61,0,0
25,Hilo,US,19.73,-155.09,75.2,69.01,69,90,14.99,0,0
26,San Cristobal,VE,7.77,-72.22,84.2,84.2,51,75,23.04,0,0
27,Thompson,CA,55.74,-97.86,37.4,37.4,37,75,19.46,0,0
28,Mataura,NZ,-46.19,168.86,55.06,55.06,67,51,3.71,0,0
29,Hermanus,ZA,-34.42,19.23,64.99,64.99,63,0,6.15,0,0
30,Brzeg,PL,50.86,17.47,60.8,54.0,41,100,4.7,0,0
31,Bambous Virieux,MU,-20.34,57.76,75.2,71.01,78,40,9.17,0,0
32,Rikitea,PF,-23.12,-134.97,75.67,75.67,70,77,4.45,0,0
33,New Norfolk,AU,-42.78,147.06,46.99,41.0,81,13,4.45,0,0
34,Shingu,JP,33.73,135.98,66.25,66.25,97,100,8.41,0,0
35,Carnarvon,AU,-24.87,113.63,75.11,75.11,40,100,13.04,0,0
36,Mar Del Plata,AR,-38.0,-57.56,60.01,57.99,82,0,10.29,0,0
37,Qaqortoq,GL,60.72,-46.03,50.0,50.0,23,57,23.04,0,0
38,Tabou,CI,4.42,-7.35,80.17,80.17,86,95,10.22,0,0
39,Nanortalik,GL,60.14,-45.24,40.89,40.89,68,37,16.53,0,0
40,Lebu,CL,-37.62,-73.65,57.52,57.52,85,99,19.24,0,0
41,Cape Town,ZA,-33.93,18.42,59.0,59.0,100,75,3.36,0,0
42,Coihaique,CL,-45.58,-72.07,44.6,44.6,100,90,5.79,0,0
43,Jamestown,US,42.1,-79.24,37.99,33.8,69,90,19.46,0,0
44,Saint George,US,37.1,-113.58,93.0,91.4,8,1,4.7,0,0
45,San Patricio,MX,19.22,-104.7,84.2,84.2,79,20,17.22,0,0
46,Blagoyevo,RU,63.37,47.92,39.85,39.85,92,15,1.45,0,0
47,Port Alfred,ZA,-33.59,26.89,61.0,61.0,95,1,9.13,0,0
48,Ponta Do Sol,PT,32.67,-17.1,66.2,60.01,72,40,2.24,0,0
49,Lompoc,US,34.64,-120.46,66.99,59.0,82,90,4.7,0,0
50,Mahebourg,MU,-20.41,57.7,75.2,75.2,78,40,9.17,0,0
51,Albany,US,42.6,-73.97,39.99,39.0,59,85,3.0,0,0
52,Tasiilaq,GL,65.61,-37.64,32.0,32.0,89,100,14.99,0,0
53,Luderitz,NA,-26.65,15.16,57.2,57.2,82,0,1.12,0,0
54,Bagotville,AU,-28.98,153.42,64.99,57.2,88,0,7.2,0,0
55,Xinzhou,CN,38.41,112.73,56.68,56.68,42,7,0.6,0,0
56,Cajaruro,PE,-5.74,-78.43,77.25,77.25,66,50,1.36,0,0
57,Airai,TL,-8.93,125.41,60.93,60.93,100,100,3.98,0,0
58,Barrow,US,71.29,-156.79,28.4,28.4,86,1,10.29,0,0
59,Karratha,AU,-20.74,116.85,76.71,76.71,26,96,16.64,0,0
60,Dunedin,NZ,-45.87,170.5,54.0,50.0,94,78,1.99,0,0
61,Bluff,NZ,-46.6,168.33,55.11,55.11,72,54,8.95,0,0
62,Moissala,TD,8.34,17.77,77.7,77.7,78,75,7.58,0,0
63,Ust-Ilimsk,RU,58.0,102.66,49.84,49.84,88,100,13.89,0,0
64,Bethel,US,41.37,-73.41,41.0,39.0,55,1,12.75,0,0
65,Kulhudhuffushi,MV,6.62,73.07,83.43,83.43,74,100,4.68,0,0
66,Lorengau,PG,-2.02,147.27,85.82,85.82,72,13,9.48,0,0
67,Ribeira Brava,PT,32.65,-17.07,66.2,60.01,72,40,2.24,0,0
68,Sangar,RU,63.92,127.47,25.0,25.0,94,75,5.53,0,0
69,Severo-Kurilsk,RU,50.68,156.12,33.6,33.6,91,95,17.98,0,0
70,Aklavik,CA,68.22,-135.01,42.8,42.8,56,20,14.99,0,0
