City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Kawhia,NZ,60.01,-38.07,174.82,Kawhia Beachside Scape Holiday Park
2,Puerto Ayora,EC,84.2,-0.74,-90.35,Finch Bay Galapagos Hotel
3,Hidrolandia,BR,73.18,-4.41,-40.44,Hotel Ideal
6,Portland,US,87.01,45.52,-122.68,Portland Marriott City Center
7,Kapaa,US,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
8,Jian,CN,72.07,27.12,114.98,Luling International Hotel
9,Alofi,NU,84.2,-19.06,-169.92,Scenic Matavai Resort Niue
17,San Policarpo,PH,82.83,12.18,125.51,Kirum-Kirum Resort and Hotel
18,Guerrero Negro,MX,76.32,27.98,-114.06,The Halfway Inn
21,Syriam,MM,80.6,16.77,96.24,"Sule Shangri-La, Yangon"
22,Bredasdorp,ZA,60.8,-34.53,20.04,Bredasdorp Country Manor
24,Pedernales,DO,84.45,18.04,-71.74,Hotel Costa Marina
25,Hilo,US,75.2,19.73,-155.09,Hilo Hawaiian Hotel
26,San Cristobal,VE,84.2,7.77,-72.22,Pirineos
29,Hermanus,ZA,64.99,-34.42,19.23,Misty Waves Boutique Hotel
31,Bambous Virieux,MU,75.2,-20.34,57.76,Laguna Beach Hotel & Spa
32,Rikitea,PF,75.67,-23.12,-134.97,Pension Maro'i
34,Shingu,JP,66.25,33.73,135.98,Shingu UI Hotel
35,Carnarvon,AU,75.11,-24.87,113.63,Hospitality Carnarvon
38,Tabou,CI,80.17,4.42,-7.35,hotêl doufoulougou
45,San Patricio,MX,84.2,19.22,-104.7,Hotel Cabo Blanco
47,Port Alfred,ZA,61.0,-33.59,26.89,The Halyards Hotel
48,Ponta Do Sol,PT,66.2,32.67,-17.1,Calheta Beach Resort
50,Mahebourg,MU,75.2,-20.41,57.7,Shandrani Beachcomber Resort & Spa
56,Cajaruro,PE,77.25,-5.74,-78.43,Hotel Kuelap
57,Airai,TL,60.93,-8.93,125.41,Juvinal Martin
59,Karratha,AU,76.71,-20.74,116.85,ibis Styles Karratha
62,Moissala,TD,77.7,8.34,17.77,
65,Kulhudhuffushi,MV,83.43,6.62,73.07,Haajy Guest House 1
66,Lorengau,PG,85.82,-2.02,147.27,Lorengau Harbourside Hotel
67,Ribeira Brava,PT,66.2,32.65,-17.07,Hotel do Campo
72,Geraldton,AU,60.8,-28.77,114.6,Broadwater Mariner Resort
76,Kalmunai,LK,80.29,7.42,81.82,VS Villa
77,Vaini,TO,84.2,-21.2,-175.2,Little Italy Hotel
79,Noumea,NC,75.0,-22.28,166.46,Hôtel Le Lagon
80,Souillac,MU,75.2,-20.52,57.52,Shanti Maurice Resort & Spa
81,Naze,JP,73.4,28.37,129.48,奄美ポートタワーホテル
83,Butaritari,KI,83.3,3.07,172.79,Isles Sunset Lodge
84,Georgetown,MY,80.6,5.41,100.34,Cititel Penang
85,Chicama,PE,69.8,-7.84,-79.15,Hospedaje Punta Cana PERU
86,Shimoni,KE,80.47,-4.65,39.38,Shimoni Reef Lodge
87,Tagusao,PH,82.09,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
89,Bagli,IN,84.69,22.65,76.35,Goswami Vila
93,Abu Samrah,SY,60.26,35.3,37.18,
94,Kimbe,PG,85.66,-5.55,150.14,Kimbe Bay Hotel
96,Avera,US,68.0,33.19,-82.53,April darren
97,Fairbanks,US,71.01,64.84,-147.72,Pike's Waterfront Lodge
99,Rongcheng,CN,64.87,30.63,117.85,Longling Mountain Villa
101,Clarin,PH,82.83,8.2,123.86,The MU Manor Hotel
102,East London,ZA,65.32,-33.02,27.91,Tu Casa
105,Tocopilla,CL,64.69,-22.09,-70.2,Hotel Galvarino
106,Rabo De Peixe,PT,62.6,37.8,-25.58,Hotel Arcanjo
109,Odweyne,SO,75.43,9.41,45.06,Eng Hiirey House
111,Nioro,GM,74.19,13.35,-15.75,Manka Kunda
112,Wanning,CN,80.78,18.8,110.4,Paradise Hotel
113,Mahuva,IN,80.29,21.09,71.76,Hotel Blue Diamond.
115,Avarua,CK,82.4,-21.21,-159.78,Little Polynesian Resort
117,Tondi,IN,85.59,9.73,79.02,Star Lodge
118,Port Elizabeth,ZA,60.8,-33.92,25.57,The Paxton Hotel (Pty) Ltd
119,Salalah,OM,82.4,17.02,54.09,Al Jabal
120,Hai Duong,VN,82.4,20.93,106.32,Hai Khanh Hotel
121,Komsomolskiy,UZ,62.6,40.43,71.72,Grand Osiyo Plaza
122,Natchitoches,US,69.8,31.77,-93.13,Holiday Inn Express & Suites Natchitoches
123,Bengkulu,ID,76.77,-3.8,102.27,Grage Hotel Bengkulu
124,Saint-Georges,GD,82.4,12.06,-61.75,Radisson Grenada Beach Resort
125,Arraial Do Cabo,BR,69.8,-22.97,-42.03,Pousada Porto Praia
127,Ribeira Grande,PT,63.97,38.52,-28.7,Hotel do Canal | Horta - Faial
130,Aitape,PG,84.4,-3.14,142.35,
131,Wiwili,NI,85.32,13.63,-85.83,Hospedaje gladita
133,Ipixuna,BR,78.8,-1.76,-48.8,Hotel Joanayna
136,Saint-Philippe,RE,69.8,-21.36,55.77,p'ti case d'éléna
137,Hithadhoo,MV,84.33,-0.6,73.08,Scoop Guest House
139,Atuona,PF,80.73,-9.8,-139.03,Villa Enata
140,Bathsheba,BB,80.6,13.22,-59.52,Atlantis Hotel
141,Fortuna,US,63.0,40.6,-124.16,Super 8 by Wyndham Fortuna
142,Salinopolis,BR,79.92,-0.61,-47.36,Atalaia VIP Praia Hotel
144,Iberia,US,66.2,29.95,-91.75,Bayou Teche Guest Cottage
145,Cejkovice,CZ,66.2,48.91,16.94,Hotel Kraví Hora
149,Sao Filipe,CV,74.03,14.9,-24.5,Tortuga B&B
150,Yima,CN,60.01,34.74,111.88,Yima Hotel
151,Sur,OM,84.2,22.57,59.53,Sur Plaza Hotel
152,Kanniyakumari,IN,84.31,8.08,77.57,New Cape Hotel
154,Havelian,PK,73.4,34.05,73.17,لاہوری مرغ چنا ہوٹل
156,Cidreira,BR,63.88,-30.18,-50.21,Novomar Pousada e Turismo Ltda
157,Bairiki,KI,86.0,1.33,172.98,Fema Lodge
158,Celestun,MX,81.91,20.87,-90.4,Playa Maya Resorts
159,Poum,NC,76.21,-20.23,164.02,Gîte kajeon
160,Gondar,ET,64.56,12.6,37.47,L Shape Hotel
161,Morros,BR,73.44,-9.45,-46.3,
